,Author,Comment,Sentiment
0,,Next vid we’ll have a chill time going through this video point-for-point and talking about how we can do the opposite :),Positive
1,@dollarsaurus01,Man… this one really hit me hard. By the end of it I wanted to cry. I felt like I was watching a recap of my own life over the past year and realized how much of a negative attitude I’ve adopted about everything. So well done. Thanks Joey,Positive
2,@sinsocial3609,It’s crazy how everyone could relate with this video. I hope everyone gets on their path and be the best they could possibly be. We got this,Positive
3,@JakulaithWolff,"Thank you. Just to add to this motivational ride, nothing is ever too late to change. Literally last week I decided to change before the new year starts (It’s December), and just like that, I don’t smoke anymore and I’ve pushed myself to meet up events after a long isolation I blamed ‘trauma’ for. I just poured out my glass of wine after this video. I have to inspire myself if I want to inspire othwrs.",Negative
4,@HackieYT,"I'm SO glad I turned my life around the past year. My life used to be just like this, and seeing it from another perspective is confronting. Maybe even more confronting than when I confronted myself at the start of 2023. Keep going lads, you got this in the bag!",Positive
5,@antoniolarizza3232,"Hey, I wanna say: thank you for making this. Genuinely puts a lot of what I’m doing and a lot of how I act into perspective. Coming from experience doing most of these things, this is 100% how you ruin your life, and it’s a slow and painful process that feels like when an inexperienced hunter shoots a deer wrong, and has to gather up all the bits of their courage just to clumsily and hesitatingly finish it off, putting it in more pain than it already is. I wanna see the next video :)",Neutral
6,@IanK369,"Deep down I know I can't really blame my lack of success on being abused as a small child, but man, overcoming negative programming from age 5 has been a lifelong struggle.",Negative
7,@marcogranston935,This was a masterpiece!! The acting from all the actors was very good. The way they convey emotions so subtly really makes the impact of the video more poignant. You should think about releasing a full feature film covering many different topics including what results from living your life a certain way. Thanks again.,Positive
8,@eventhorizon1082,"0:21 close your body language
0:51 check your phone
1:19 be late
1:47 make excuses",Negative
9,@THEcowboy367,"I needed this. I clicked into this thinking that I knew better than this, but no. Some parts where just spot on with how I've been after graduating from school. I got a life ahead of me, but I feel stumped by the lack of direction and quidance where to go from now. Nothing is going to happen, if I just crawl in my own space and insecurities.",Positive
10,@makaylaalexis4596,"The production of this video is unreal, you’ve seriously grown so much over the years and it’s inspiring to watch. The content was amazing as always. It really shows us how so many things we assume to be “givens” are actually in our control.",Positive
11,@misakiinuko8129,"Casually stumbled upon this video during my daily yt scrolling due to being homestuck for a surgery. I admit that it was really hard to watch it to the point I had to pause the video more than once - the reason: it called me out in such a way that made me wake up from my current slumber. Of course I am aware from a long time that this behavior has already damaged my social skills,  but the worst thing is that I keep blaming my past traumas for that instead of my cowardice and lack of will. Using them as a shield to protect myself from further harm at the price of being considered as a strange, if not crazy, outcast... And the fact that I'm a procrastinator doesn't help at all. Thank you for this video. Not sure if I'll be able to change for the better, but I sincerely want to try again - especially now that there will be some important changes in my life.",Positive
12,@jeonyn7309,This video made me realize my mistakes. Having an external locus of control and always making excuses for myself such as this situation was not in favorable circumstances and just wishing for a better future. I'll try my best to work on it :),Positive
13,@vCuda,"Absolutely soul crushing. Thanks man, genuinely. Deep down we're all aware of what we're doing to keep ourselves unhappy and in an endless cycle, but choose not to act. I've been dealing with the consequences of this recently but in that time, I remembered a quote from a childhood movie. I think it's something many of us have forgotten.",Positive
14,@mikealalee2889,"As someone who has Audhd, this is exactly how I live my life just to feel safe and comfortable in a world that's very scary and uncomfortable for me. This is a ruined life for some, but for me its happiness. Its peace. Its the freedom to be myself without others judging me simply for being born different.",Positive
